Name, Surname, Email, Gender, Phone, RollNo, Department, Internships, Skills, Skill Score, Aggregate Pointer, No of KT's, Domain, Performance
Ansh, Gokhale, AnshGokhale9080@redmail.com, Male, 9588972814, 16ex39, extc, 1, ['microsoft word' |  'c'], 5, 8.83, 5, android developer, extreme high
Manoj, Patel, ManojPatel2658@spicemail.com, Male, 8573028628, 13ex44, extc, 3, ['python'], 10, 9.94, 0, ios developer, low
Arush, Reddy, ArushReddy6672@redmail.com, Male, 9309343837, 17co45, computer, 0, ['c' |  'java'], 9, 4.68, 2, ethical hacking, extreme low
Vivaan, Gokhale, VivaanGokhale2399@mail.com, Male, 8469756440, 19ex57, extc, 0, ['web scrapping' |  'c'], 11, 8.68, 5, ethical hacking, moderate low
Zahira, Agarwal, ZahiraAgarwal1463@hotmail.com, Female, 8355480512, 18ex33, extc, 0, ['excell' |  'python' |  'web scrapping' |  'java' |  'excell' |  'excell'], 28, 8.19, 1, web developer, extreme low
Falguni, Arya, FalguniArya2794@mail.com, Female, 9674723478, 16ex29, extc, 1, ['microsoft word' |  'web development' |  'web scrapping' |  'c'], 12, 5.41, 3, ethical hacking, medium
Damini, Anthony, DaminiAnthony8242@redmail.com, Female, 8416043321, 19ex28, extc, 4, ['java' |  'web development'], 5, 4.44, 1, dot net developer, moderate high
Esha, Kapadia, EshaKapadia6279@mail.com, Female, 9345167735, 16it15, it, 4, ['web scrapping' |  'microsoft word' |  'ruby' |  'web scrapping' |  'c'], 27, 6.56, 5, machine learning, moderate low
Arush, Kapadia, ArushKapadia7360@mail.com, Male, 8802559844, 15co28, computer, 1, ['excell' |  'excell' |  'machine learning' |  'microsoft word' |  'excell' |  'linux'], 19, 5.54, 2, dot net developer, low
Esha, Anand, EshaAnand4165@gmail.com, Female, 8475126052, 19co27, computer, 3, ['linux' |  'linux' |  'ruby'], 14, 7.6, 3, ios developer, moderate high
Nandini, Iyer, NandiniIyer2673@mail.com, Female, 9678421648, 17ex56, extc, 3, ['microsoft word' |  'web development' |  'python' |  'web development' |  'python'], 21, 9.78, 1, dot net developer, high
Esha, Iyer, EshaIyer3299@gmail.com, Female, 9157773136, 17ex43, extc, 0, ['linux' |  'microsoft word' |  'python' |  'web development' |  'c'], 18, 6.37, 4, ios developer, extreme high
Sai, Patel, SaiPatel2010@spicemail.com, Male, 9768112438, 19it24, it, 4, ['c'], 4, 9.03, 1, ethical hacking, extreme high
Manish, Khanna, ManishKhanna1631@spicemail.com, Male, 8224543010, 16co60, computer, 2, ['excell' |  'ruby'], 10, 9.25, 3, ethical hacking, medium
Muhammad, Anand, MuhammadAnand6934@redmail.com, Male, 9907956186, 13ex30, extc, 3, ['python' |  'web scrapping' |  'web development' |  'web scrapping'], 24, 6.97, 5, android developer, moderate high
Ajay, Khatri, AjayKhatri7851@gmail.com, Male, 8477666939, 13ex54, extc, 2, ['web development' |  'c'], 4, 4.19, 0, ethical hacking, moderate low
Vilina, Laghari, VilinaLaghari9858@gmail.com, Female, 9634275735, 15co25, computer, 4, ['c' |  'python' |  'web scrapping' |  'microsoft word'], 22, 9.91, 2, ethical hacking, extreme low
Nandini, Bakshi, NandiniBakshi6039@gmail.com, Female, 8739107832, 18ex36, extc, 1, ['ruby' |  'excell' |  'ruby' |  'ruby' |  'ruby'], 34, 5.89, 1, ethical hacking, moderate high
Kamala, Chopra, KamalaChopra4163@spicemail.com, Female, 8522306246, 13ex11, extc, 3, ['c'], 4, 5.91, 3, web developer, extreme high
Arush, Laghari, ArushLaghari7380@spicemail.com, Male, 8293935870, 14it23, it, 4, ['python'], 10, 4.81, 2, android developer, low
Arush, Malhotra, ArushMalhotra6137@spicemail.com, Male, 9178110398, 16co16, computer, 3, ['c' |  'linux' |  'c' |  'web development'], 11, 5.12, 2, ios developer, extreme low
Ishita, Joshi, IshitaJoshi6297@gmail.com, Female, 9991553640, 17it10, it, 2, ['linux' |  'microsoft word' |  'machine learning' |  'web scrapping' |  'python' |  'linux'], 33, 9.94, 3, dot net developer, extreme high
Atharv, Iyer, AtharvIyer5113@hotmail.com, Male, 9982965018, 18it34, it, 0, ['excell' |  'machine learning'], 11, 8.23, 1, ethical hacking, extreme high
Ayaan, Khatri, AyaanKhatri3868@hotmail.com, Male, 9560851390, 18ex39, extc, 0, ['java' |  'ruby'], 13, 8.79, 4, android developer, medium
Aarav, Gandhi, AaravGandhi7041@hotmail.com, Male, 9706025609, 17ex54, extc, 3, ['excell' |  'web development' |  'machine learning'], 11, 8.8, 5, dot net developer, high
Dulari, Gokhale, DulariGokhale4077@redmail.com, Female, 8786685680, 14it10, it, 2, ['python' |  'c' |  'linux' |  'ruby' |  'ruby' |  'web development'], 33, 4.46, 4, web developer, moderate high
Rudra, Ghosh, RudraGhosh5022@mail.com, Male, 8413732734, 13it40, it, 0, ['ruby' |  'machine learning' |  'machine learning' |  'java' |  'microsoft word' |  'linux'], 35, 8.41, 5, machine learning, medium
Dulari, Patel, DulariPatel9527@hotmail.com, Female, 9244750483, 13ex02, extc, 4, ['c' |  'machine learning' |  'python'], 23, 9.64, 2, web developer, moderate high
Reyansh, Gupta, ReyanshGupta5325@gmail.com, Male, 8836385870, 13it44, it, 4, ['python'], 10, 9.1, 3, web developer, extreme high
Vihaan, Jain, VihaanJain3641@hotmail.com, Male, 8901618975, 18co06, computer, 1, ['excell' |  'c'], 6, 7.12, 5, ios developer, moderate high
Arya, Grover, AryaGrover3972@redmail.com, Female, 8704391591, 15it54, it, 1, ['excell' |  'excell'], 4, 6.46, 0, android developer, extreme high
Damini, Agarwal, DaminiAgarwal7770@spicemail.com, Female, 8196223383, 16ex10, extc, 3, ['excell' |  'web development' |  'excell' |  'ruby' |  'web development'], 12, 5.14, 3, web developer, low
Raahithya, Dhar, RaahithyaDhar3120@mail.com, Male, 8798719708, 16co18, computer, 2, ['excell' |  'web development' |  'java' |  'python'], 17, 6.5, 4, android developer, low
Kabir, Malhotra, KabirMalhotra5872@hotmail.com, Male, 9456547603, 17ex45, extc, 2, ['microsoft word' |  'excell' |  'ruby' |  'ruby'], 19, 6.81, 2, android developer, low
Falguni, Bakshi, FalguniBakshi5147@hotmail.com, Female, 8553774731, 16ex48, extc, 1, ['linux' |  'microsoft word' |  'python'], 14, 9.75, 1, dot net developer, moderate high
Madhavaditya, Arya, MadhavadityaArya2296@spicemail.com, Male, 8495111094, 14co53, computer, 3, ['java' |  'web development' |  'web development' |  'java'], 10, 4.84, 0, machine learning, low
Gazala, Khanna, GazalaKhanna3649@redmail.com, Female, 8841969952, 14it39, it, 4, ['web development' |  'linux'], 3, 8.09, 3, android developer, medium
Kaia, Ghosh, KaiaGhosh6066@mail.com, Female, 9119787055, 14it53, it, 1, ['excell' |  'python'], 12, 6.25, 1, dot net developer, extreme high
Laasya, Ghosh, LaasyaGhosh1757@spicemail.com, Female, 8930898582, 13co56, computer, 2, ['java' |  'excell' |  'ruby' |  'machine learning'], 24, 5.27, 0, web developer, extreme low
Vivaan, Khatri, VivaanKhatri2525@hotmail.com, Male, 8184887444, 16co58, computer, 0, ['excell' |  'java' |  'python' |  'java' |  'c'], 26, 8.82, 3, web developer, medium
Muhammad, Malhotra, MuhammadMalhotra5167@hotmail.com, Male, 8990117436, 13co47, computer, 0, ['java' |  'web development' |  'machine learning' |  'web scrapping'], 21, 6.27, 0, ios developer, moderate low
Manoj, Malhotra, ManojMalhotra2052@redmail.com, Male, 9944692270, 16ex13, extc, 1, ['web scrapping' |  'web development' |  'ruby' |  'web scrapping'], 22, 8.9, 1, dot net developer, extreme low
Atharv, Malhotra, AtharvMalhotra4536@spicemail.com, Male, 9133716501, 14co50, computer, 2, ['python' |  'ruby' |  'web scrapping' |  'web scrapping' |  'web scrapping' |  'machine learning'], 48, 4.14, 5, dot net developer, extreme low
Gazala, Khanna, GazalaKhanna9491@spicemail.com, Female, 9886238740, 14it02, it, 4, ['machine learning'], 9, 9.61, 3, ethical hacking, medium
Shaurya, Laghari, ShauryaLaghari3183@spicemail.com, Male, 9964222984, 19co37, computer, 4, ['microsoft word' |  'web scrapping' |  'ruby' |  'web scrapping' |  'web development' |  'machine learning'], 32, 8.17, 4, ios developer, extreme low
Arya, Dhar, AryaDhar6795@mail.com, Female, 8617860615, 17co02, computer, 3, ['web development'], 0, 7.86, 3, android developer, extreme low
Om, Khanna, OmKhanna4338@spicemail.com, Male, 9728935753, 19co41, computer, 2, ['microsoft word' |  'linux' |  'c' |  'java'], 13, 9.61, 0, ios developer, moderate high
Muhammad, Laghari, MuhammadLaghari3937@mail.com, Male, 8402730123, 17it19, it, 2, ['machine learning' |  'microsoft word' |  'microsoft word'], 11, 8.13, 0, web developer, extreme low
Aditya, Mangal, AdityaMangal2241@spicemail.com, Male, 8388001906, 14ex30, extc, 4, ['excell' |  'web scrapping' |  'python'], 19, 5.02, 0, ethical hacking, moderate high
Nandini, Ghosh, NandiniGhosh9066@mail.com, Female, 9148330802, 18co01, computer, 3, ['web scrapping' |  'python' |  'excell' |  'ruby' |  'microsoft word'], 28, 9.26, 4, dot net developer, moderate high
Chetan, Ghosh, ChetanGhosh5795@mail.com, Male, 8423480947, 14co26, computer, 1, ['c' |  'c' |  'java' |  'machine learning' |  'c' |  'ruby'], 34, 5.95, 5, web developer, low
Ansh, Jain, AnshJain9250@gmail.com, Male, 9826884535, 16co01, computer, 0, ['ruby' |  'excell'], 10, 8.05, 1, web developer, extreme high
Falguni, Kaur, FalguniKaur1084@redmail.com, Female, 9170925919, 13co48, computer, 3, ['microsoft word' |  'linux'], 4, 8.88, 0, android developer, extreme low
Omala, Patel, OmalaPatel9680@hotmail.com, Female, 9636260805, 13it60, it, 0, ['microsoft word'], 1, 8.82, 4, ethical hacking, extreme high
Mahika, Patel, MahikaPatel7415@redmail.com, Female, 9451928184, 18it19, it, 2, ['web scrapping' |  'python' |  'python' |  'web scrapping' |  'web development'], 34, 9.29, 1, dot net developer, low
Roshni, Agarwal, RoshniAgarwal6838@spicemail.com, Female, 8560974474, 18it47, it, 2, ['java' |  'python' |  'java' |  'microsoft word'], 21, 9.77, 2, ios developer, high
Aryan, Jha, AryanJha1225@hotmail.com, Male, 9944479400, 14ex17, extc, 0, ['c' |  'linux' |  'java'], 12, 5.14, 5, android developer, moderate high
Omala, Chopra, OmalaChopra5173@spicemail.com, Female, 8816714480, 15it13, it, 4, ['microsoft word' |  'ruby' |  'microsoft word' |  'c' |  'machine learning'], 23, 7.91, 2, dot net developer, moderate high
Kabir, Ahuja, KabirAhuja1846@spicemail.com, Male, 9231806616, 13it41, it, 2, ['machine learning' |  'python' |  'c' |  'excell' |  'python'], 35, 5.07, 0, ethical hacking, extreme low
Rudra, Iyer, RudraIyer3587@mail.com, Male, 8936695833, 15ex08, extc, 1, ['ruby' |  'linux'], 11, 6.56, 3, machine learning, extreme low
Vilina, Kashyap, VilinaKashyap4036@hotmail.com, Female, 8253388597, 16ex23, extc, 1, ['ruby' |  'java' |  'c'], 17, 7.72, 0, machine learning, moderate high
Kabir, Kashyap, KabirKashyap5365@gmail.com, Male, 8856929826, 18co06, computer, 0, ['web scrapping' |  'machine learning' |  'linux' |  'web scrapping' |  'machine learning' |  'web development'], 35, 4.32, 5, dot net developer, low
Rhea, Agarwal, RheaAgarwal8098@mail.com, Female, 8769951179, 17ex59, extc, 1, ['web scrapping' |  'ruby' |  'excell' |  'ruby' |  'ruby' |  'microsoft word'], 34, 6.72, 4, ios developer, extreme low
Amara, Kapadia, AmaraKapadia4057@spicemail.com, Female, 9862029672, 18it12, it, 4, ['linux' |  'c' |  'web scrapping' |  'java' |  'machine learning'], 28, 9.82, 5, ethical hacking, moderate high
Arjun, Grover, ArjunGrover8099@hotmail.com, Male, 8116056740, 16it53, it, 3, ['python' |  'java'], 15, 9.17, 4, dot net developer, extreme low
Kamala, Reddy, KamalaReddy3871@mail.com, Female, 9206215365, 19co26, computer, 0, ['ruby' |  'python' |  'machine learning' |  'microsoft word' |  'ruby' |  'excell'], 38, 4.49, 2, web developer, moderate high
Anik, Arya, AnikArya5360@spicemail.com, Male, 8982923987, 13ex29, extc, 4, ['c'], 4, 4.11, 3, dot net developer, extreme high
Dhruv, Laghari, DhruvLaghari2346@hotmail.com, Male, 8558069949, 14co07, computer, 1, ['linux' |  'web development' |  'ruby' |  'web development' |  'machine learning'], 20, 8.07, 4, web developer, moderate high
Dulari, Bakshi, DulariBakshi6833@spicemail.com, Female, 9178212728, 18co08, computer, 1, ['linux' |  'python' |  'machine learning' |  'web development' |  'ruby' |  'java'], 35, 7.77, 1, web developer, low
Sai, Dhar, SaiDhar4112@spicemail.com, Male, 8845401286, 19it58, it, 2, ['microsoft word' |  'machine learning' |  'web development' |  'web development' |  'linux' |  'machine learning'], 22, 4.35, 0, ios developer, extreme high
Shaurya, Khanna, ShauryaKhanna4472@gmail.com, Male, 9613132887, 18co52, computer, 2, ['java' |  'web scrapping' |  'web development' |  'web development'], 12, 7.72, 2, machine learning, moderate low
Madhavaditya, Anthony, MadhavadityaAnthony4455@gmail.com, Male, 9280536597, 19it47, it, 3, ['python' |  'c' |  'web development' |  'excell' |  'machine learning' |  'c'], 29, 7.99, 3, machine learning, high
Madhavaditya, Kashyap, MadhavadityaKashyap9270@mail.com, Male, 9942117271, 14ex51, extc, 3, ['linux' |  'linux'], 6, 8.75, 1, android developer, medium
Aarav, Khatri, AaravKhatri8967@gmail.com, Male, 8528901660, 18co05, computer, 1, ['linux' |  'python' |  'web scrapping' |  'linux' |  'excell' |  'python'], 35, 9.08, 2, machine learning, high
Vilina, Joshi, VilinaJoshi2954@gmail.com, Female, 9520739226, 16ex42, extc, 4, ['ruby' |  'python' |  'web development'], 18, 9.24, 2, web developer, moderate high
Akshay, Kashyap, AkshayKashyap8550@redmail.com, Male, 9337099631, 16ex09, extc, 3, ['microsoft word' |  'ruby' |  'linux' |  'java' |  'java'], 22, 9.68, 3, ios developer, high
Manish, Bakshi, ManishBakshi2815@spicemail.com, Male, 9186916161, 15ex34, extc, 0, ['java' |  'java' |  'java' |  'ruby' |  'machine learning'], 32, 4.72, 4, ios developer, medium
Naina, Anand, NainaAnand4367@redmail.com, Female, 9939490580, 13co18, computer, 2, ['c'], 4, 7.4, 3, web developer, moderate low
Mahika, Kapadia, MahikaKapadia4848@gmail.com, Female, 9195414926, 16ex41, extc, 4, ['microsoft word' |  'machine learning' |  'java' |  'web development' |  'c' |  'web scrapping'], 26, 4.72, 2, machine learning, moderate low
Aarav, Jain, AaravJain2916@mail.com, Male, 9903448953, 13it26, it, 2, ['excell'], 2, 9.39, 3, machine learning, moderate low
Ishaan, Ganguly, IshaanGanguly2296@mail.com, Male, 8841287431, 19it36, it, 3, ['machine learning' |  'microsoft word' |  'linux' |  'microsoft word'], 14, 7.97, 2, web developer, extreme low
Zahira, Jha, ZahiraJha9734@hotmail.com, Female, 9188536087, 16it08, it, 4, ['python' |  'web scrapping'], 17, 5.7, 4, machine learning, extreme low
Omala, Gupta, OmalaGupta1545@gmail.com, Female, 8937378128, 13ex01, extc, 0, ['linux' |  'excell' |  'microsoft word'], 6, 5.63, 0, ethical hacking, high
Ishita, Reddy, IshitaReddy2216@spicemail.com, Female, 9942813897, 16it33, it, 1, ['microsoft word' |  'web development' |  'web scrapping'], 8, 9.41, 3, ios developer, high
Muhammad, Anand, MuhammadAnand8868@mail.com, Male, 8958179919, 13ex24, extc, 3, ['java' |  'machine learning' |  'python'], 24, 4.64, 1, machine learning, medium
Naina, Ahuja, NainaAhuja7517@mail.com, Female, 9865552741, 16it14, it, 2, ['web development' |  'machine learning' |  'web development' |  'machine learning'], 18, 7.99, 3, dot net developer, low
Amara, Anand, AmaraAnand1168@hotmail.com, Female, 8282764811, 19it03, it, 2, ['web development' |  'microsoft word' |  'web scrapping' |  'web scrapping' |  'python' |  'web scrapping'], 32, 7.05, 3, android developer, moderate low
Pooja, Kaur, PoojaKaur2291@hotmail.com, Female, 8527439123, 18it32, it, 1, ['microsoft word' |  'ruby' |  'linux'], 12, 5.84, 0, dot net developer, moderate high
Ishita, Kashyap, IshitaKashyap5632@mail.com, Female, 9158770988, 19it37, it, 1, ['excell' |  'python' |  'microsoft word' |  'linux' |  'microsoft word' |  'linux'], 20, 8.23, 5, machine learning, extreme high
Hanima, Grover, HanimaGrover4068@mail.com, Female, 8657429444, 15ex12, extc, 0, ['web development' |  'linux' |  'web development' |  'microsoft word'], 4, 4.08, 2, dot net developer, low
Aesha, Patel, AeshaPatel3175@hotmail.com, Female, 8733327354, 17it47, it, 2, ['java' |  'java' |  'python' |  'microsoft word'], 21, 6.56, 2, machine learning, high
Dulari, Kashyap, DulariKashyap7646@hotmail.com, Female, 9210003374, 16ex43, extc, 1, ['excell' |  'java' |  'c'], 11, 8.66, 4, android developer, extreme low
Dulari, Arya, DulariArya4436@hotmail.com, Female, 8924077473, 16co23, computer, 0, ['java' |  'java' |  'microsoft word' |  'ruby'], 19, 7.36, 2, ios developer, medium
Vivaan, Patel, VivaanPatel3226@spicemail.com, Male, 8339444320, 18it38, it, 3, ['web scrapping' |  'web development' |  'java' |  'linux'], 15, 4.78, 1, android developer, extreme high
Anik, Kashyap, AnikKashyap5958@hotmail.com, Male, 9160821387, 15ex48, extc, 1, ['web scrapping' |  'microsoft word' |  'python' |  'web development' |  'linux' |  'web scrapping'], 28, 5.69, 5, machine learning, moderate high
Adhira, Agarwal, AdhiraAgarwal4738@redmail.com, Female, 9403190421, 16co27, computer, 0, ['microsoft word' |  'java' |  'microsoft word' |  'c' |  'web scrapping' |  'linux'], 21, 8.54, 4, ios developer, moderate low
Falguni, Gandhi, FalguniGandhi3316@hotmail.com, Female, 8222472880, 18ex51, extc, 2, ['c' |  'c'], 8, 7.82, 5, ethical hacking, extreme high
Aesha, Bakshi, AeshaBakshi7398@hotmail.com, Female, 8627918841, 16ex30, extc, 3, ['excell'], 2, 4.72, 0, web developer, high
Manish, Kapadia, ManishKapadia6331@gmail.com, Male, 9897073645, 19it35, it, 4, ['machine learning' |  'python'], 19, 4.25, 2, dot net developer, high
Nandini, Jha, NandiniJha1117@mail.com, Female, 9599147437, 16co39, computer, 0, ['linux' |  'excell'], 5, 6.21, 1, machine learning, moderate low
Chahna, Gokhale, ChahnaGokhale4432@redmail.com, Female, 8987505532, 14it10, it, 0, ['microsoft word' |  'linux' |  'excell' |  'ruby'], 14, 5.15, 5, android developer, moderate high
Naina, Ganguly, NainaGanguly3281@hotmail.com, Female, 8613540820, 17co50, computer, 2, ['machine learning' |  'web scrapping' |  'web development'], 16, 4.0, 4, ios developer, medium
Mahika, Khanna, MahikaKhanna1646@mail.com, Female, 9814579161, 19ex25, extc, 1, ['web scrapping' |  'ruby' |  'c' |  'python'], 29, 9.97, 4, android developer, high
Arnav, Ahuja, ArnavAhuja9626@redmail.com, Male, 8302319401, 15ex52, extc, 4, ['microsoft word' |  'c' |  'web scrapping'], 12, 4.6, 5, ethical hacking, high
Dhruv, Joshi, DhruvJoshi2440@spicemail.com, Male, 9618214120, 19ex44, extc, 0, ['machine learning'], 9, 6.33, 1, web developer, low
Rudra, Anthony, RudraAnthony8964@redmail.com, Male, 8845710422, 15it28, it, 0, ['machine learning' |  'web development'], 9, 5.11, 1, dot net developer, medium
Zahira, Laghari, ZahiraLaghari7480@redmail.com, Female, 9561524699, 13it57, it, 3, ['excell' |  'microsoft word' |  'ruby' |  'c'], 15, 4.57, 3, dot net developer, medium
Krish, Malhotra, KrishMalhotra8522@mail.com, Male, 9383485260, 13co36, computer, 1, ['java'], 5, 6.04, 4, ethical hacking, moderate high
Adhira, Kashyap, AdhiraKashyap3597@mail.com, Female, 9559141069, 19ex52, extc, 3, ['java' |  'python' |  'java' |  'machine learning'], 29, 9.17, 5, android developer, moderate low
Vivaan, Patel, VivaanPatel4953@spicemail.com, Male, 8753351370, 15co38, computer, 1, ['excell' |  'web scrapping' |  'web development'], 9, 7.69, 2, dot net developer, high
Mangala, Kaur, MangalaKaur5329@hotmail.com, Female, 8127607555, 17ex12, extc, 1, ['microsoft word' |  'machine learning' |  'microsoft word' |  'excell' |  'java' |  'web development'], 18, 4.65, 0, web developer, high
Aryan, Jain, AryanJain1727@spicemail.com, Male, 8363822856, 18ex36, extc, 2, ['ruby'], 8, 8.96, 2, web developer, extreme low
Aditya, Jain, AdityaJain5849@gmail.com, Male, 8226535586, 17ex53, extc, 3, ['excell' |  'machine learning'], 11, 4.03, 3, machine learning, high
Kamala, Arya, KamalaArya2246@gmail.com, Female, 8719234347, 17ex46, extc, 1, ['web development' |  'web scrapping' |  'web development' |  'c' |  'web scrapping' |  'web development'], 18, 7.21, 2, ethical hacking, medium
Esha, Patel, EshaPatel7546@mail.com, Female, 9854223942, 13ex45, extc, 4, ['c' |  'ruby' |  'machine learning'], 21, 9.0, 3, ethical hacking, extreme high
Aesha, Patel, AeshaPatel5232@gmail.com, Female, 9971694170, 14it22, it, 1, ['java' |  'linux' |  'python' |  'web development'], 18, 8.89, 2, web developer, high
Zahira, Khanna, ZahiraKhanna3856@mail.com, Female, 8753861930, 15co04, computer, 2, ['c'], 4, 7.45, 1, ios developer, moderate low
Rudra, Iyer, RudraIyer8871@hotmail.com, Male, 9739573019, 15ex43, extc, 4, ['python' |  'web development' |  'machine learning' |  'microsoft word'], 20, 5.01, 3, ios developer, extreme high
Manoj, Gandhi, ManojGandhi1249@redmail.com, Male, 8474790566, 14it54, it, 2, ['ruby' |  'microsoft word'], 9, 4.02, 5, ios developer, low
Aahna, Grover, AahnaGrover1626@redmail.com, Female, 9600924409, 16ex39, extc, 3, ['python' |  'web scrapping' |  'ruby' |  'web development'], 25, 6.81, 3, ethical hacking, low
Dhruv, Ahuja, DhruvAhuja2773@spicemail.com, Male, 9144469848, 19co49, computer, 2, ['microsoft word' |  'excell' |  'machine learning'], 12, 6.18, 0, web developer, moderate high
